date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-24,01,01001,2,3,1,0,4,38,33,2
2021-11-24,01,01002,3,5,4,1,31,127,125,27
2021-11-24,01,01003,2,2,8,4,11,113,113,11
2021-11-24,01,01004,1,1,2,0,1,24,24,1
2021-11-24,01,01051,1,1,2,1,3,35,35,3
2021-11-24,01,01053,2,2,0,0,3,15,15,3
2021-11-24,01,01054,3,3,2,2,4,20,20,4
2021-11-24,01,01055,3,3,1,1,9,38,38,9
2021-11-24,01,01056,2,2,5,1,6,29,29,6
2021-11-24,01,01057,1,1,2,1,5,7,7,5
2021-11-24,01,01058,3,5,1,1,15,27,24,12
2021-11-24,01,01059,1,1,1,0,0,24,24,0
2021-11-24,01,01060,3,3,4,3,22,63,63,22
2021-11-24,01,01061,1,3,1,1,11,28,21,5
2021-11-24,01,01062,3,3,5,4,4,26,26,4
2021-11-24,02,02000,24,34,47,28,101,515,448,61
2021-11-24,03,03101,5,7,7,2,22,107,98,14
2021-11-24,03,03102,2,2,4,2,1,28,28,1
2021-11-24,03,03103,1,3,8,7,1,28,19,1
2021-11-24,03,03151,1,1,5,3,2,10,10,2
2021-11-24,03,03153,3,3,2,1,3,22,22,3
2021-11-24,03,03154,1,1,1,1,0,17,17,0
2021-11-24,03,03155,2,2,1,0,7,13,13,7
2021-11-24,03,03157,1,1,0,0,5,11,11,5
2021-11-24,03,03158,1,1,3,1,5,11,11,5
2021-11-24,03,03159,7,8,16,13,18,114,99,11
2021-11-24,03,03241,16,19,32,20,45,349,306,33
2021-11-24,03,03251,3,3,1,0,2,14,14,2
2021-11-24,03,03252,4,6,3,2,11,64,61,8
2021-11-24,03,03254,4,7,7,3,15,60,54,10
2021-11-24,03,03255,1,1,3,0,1,10,10,1
2021-11-24,03,03256,1,1,1,0,1,13,13,1
2021-11-24,03,03257,1,1,3,2,2,22,22,2
2021-11-24,03,03351,1,2,7,3,4,26,20,0
2021-11-24,03,03352,2,2,3,1,1,12,12,1
2021-11-24,03,03353,3,3,2,1,8,24,24,8
2021-11-24,03,03354,1,1,0,0,0,5,5,0
2021-11-24,03,03355,1,3,0,0,7,36,24,2
2021-11-24,03,03356,2,3,0,0,2,8,8,2
2021-11-24,03,03357,2,3,3,0,5,25,23,3
2021-11-24,03,03358,2,2,1,1,3,17,17,3
2021-11-24,03,03359,2,3,2,0,9,22,21,7
2021-11-24,03,03360,2,2,2,2,5,71,71,5
2021-11-24,03,03361,2,2,4,1,0,15,15,0
2021-11-24,03,03401,1,1,1,0,0,17,17,0
2021-11-24,03,03402,1,1,1,1,1,16,16,1
2021-11-24,03,03403,3,6,15,12,13,106,88,6
2021-11-24,03,03404,4,5,16,8,11,109,94,10
2021-11-24,03,03405,1,2,2,2,7,21,18,2
2021-11-24,03,03451,2,3,2,0,6,26,26,6
2021-11-24,03,03452,3,4,3,1,6,30,26,2
2021-11-24,03,03453,3,3,2,2,5,18,18,5
2021-11-24,03,03454,6,10,3,2,21,63,52,12
2021-11-24,03,03455,2,2,2,0,11,20,20,11
2021-11-24,03,03456,1,1,4,1,5,22,22,5
2021-11-24,03,03457,4,6,3,0,14,17,17,9
2021-11-24,03,03458,1,1,0,0,0,6,6,0
2021-11-24,03,03459,6,7,10,2,10,78,78,10
2021-11-24,03,03460,3,5,3,3,6,30,24,4
2021-11-24,03,03461,2,2,1,1,4,11,11,4
2021-11-24,03,03462,1,1,0,0,0,8,8,0
2021-11-24,04,04011,8,9,16,10,4,138,122,4
2021-11-24,04,04012,3,4,4,3,10,40,33,3
2021-11-24,05,05111,11,14,27,12,13,288,263,11
2021-11-24,05,05112,9,16,23,12,17,171,149,10
2021-11-24,05,05113,12,15,32,19,43,332,312,35
2021-11-24,05,05114,4,7,12,6,8,76,68,4
2021-11-24,05,05116,4,6,14,8,5,84,77,5
2021-11-24,05,05117,2,2,6,0,0,34,34,0
2021-11-24,05,05119,4,6,6,2,5,64,49,1
2021-11-24,05,05120,1,1,1,0,0,26,26,0
2021-11-24,05,05122,3,4,12,7,9,63,60,8
2021-11-24,05,05124,5,7,9,6,21,126,116,17
2021-11-24,05,05154,5,8,5,1,14,52,52,6
2021-11-24,05,05158,6,6,9,4,12,49,49,12
2021-11-24,05,05162,5,7,4,3,10,90,79,7
2021-11-24,05,05166,4,4,2,1,2,32,32,2
2021-11-24,05,05170,8,11,18,6,16,109,104,12
2021-11-24,05,05314,11,18,22,15,10,276,219,7
2021-11-24,05,05315,18,30,47,23,36,368,310,34
2021-11-24,05,05316,2,5,10,5,6,63,46,5
2021-11-24,05,05334,7,13,20,9,22,258,243,18
2021-11-24,05,05358,4,6,7,3,16,46,41,12
2021-11-24,05,05362,6,6,7,2,5,54,54,5
2021-11-24,05,05366,3,3,6,2,1,27,27,1
2021-11-24,05,05370,3,3,6,3,4,36,36,4
2021-11-24,05,05374,5,5,13,7,8,49,49,8
2021-11-24,05,05378,4,4,4,4,0,39,39,0
2021-11-24,05,05382,6,7,14,1,11,73,61,11
2021-11-24,05,05512,2,2,1,1,15,28,28,15
2021-11-24,05,05513,4,7,12,8,13,82,69,4
2021-11-24,05,05515,7,9,9,9,13,190,177,11
2021-11-24,05,05554,5,6,8,3,15,52,52,13
2021-11-24,05,05558,3,5,2,0,7,24,14,7
2021-11-24,05,05562,14,15,25,12,29,197,170,24
2021-11-24,05,05566,5,7,10,0,12,89,74,12
2021-11-24,05,05570,5,6,7,3,11,39,38,8
2021-11-24,05,05711,4,6,21,7,16,122,101,9
2021-11-24,05,05754,4,4,11,6,8,40,40,8
2021-11-24,05,05758,3,5,6,3,12,48,42,8
2021-11-24,05,05762,5,6,3,2,4,31,27,4
2021-11-24,05,05766,2,2,14,8,2,48,48,2
2021-11-24,05,05770,6,9,20,9,19,179,159,14
2021-11-24,05,05774,5,7,15,11,9,74,65,3
2021-11-24,05,05911,6,8,17,9,14,171,155,9
2021-11-24,05,05913,9,9,16,12,15,267,267,15
2021-11-24,05,05914,5,7,7,3,9,74,71,2
2021-11-24,05,05915,5,7,4,2,20,70,55,13
2021-11-24,05,05916,4,4,7,2,3,61,61,3
2021-11-24,05,05954,6,8,2,1,34,100,67,24
2021-11-24,05,05958,9,10,3,3,12,75,71,12
2021-11-24,05,05962,8,10,13,6,19,81,78,14
2021-11-24,05,05966,3,3,2,2,11,17,17,11
